"month","year","Average_Temperature","state","Precipitation"
"01","1895","43.1","AL","7.52"
"02","1895","37.4","AL","2.66"
"03","1895","54.5","AL","7.62"
"04","1895","63.4","AL","3.58"
"05","1895","69.5","AL","3.78"
"06","1895","77.5","AL","5.79"
"07","1895","79.2","AL","4.51"
"08","1895","79.5","AL","5.13"
"09","1895","77.8","AL","1.60"
"10","1895","59.7","AL","2.22"
"11","1895","53.2","AL","1.76"
"12","1895","44.9","AL","4.23"
"01","1896","43.5","AL","4.33"
"02","1896","47.7","AL","6.16"
"03","1896","52.5","AL","5.44"
"04","1896","68.0","AL","3.54"
"05","1896","75.9","AL","3.24"
"06","1896","77.4","AL","5.44"
"07","1896","81.2","AL","4.99"
"08","1896","82.2","AL","2.82"
"09","1896","75.9","AL","1.80"
"10","1896","63.2","AL","2.27"
"11","1896","57.3","AL","4.42"
"12","1896","46.4","AL","1.71"
"01","1897","41.8","AL","3.73"
"02","1897","51.1","AL","6.32"
"03","1897","60.2","AL","10.66"
"04","1897","62.4","AL","4.10"
"05","1897","69.0","AL","1.60"
"06","1897","81.2","AL","1.97"
"07","1897","81.5","AL","4.72"
"08","1897","78.8","AL","6.07"
"09","1897","75.6","AL","0.75"
"10","1897","67.1","AL","1.26"
"11","1897","54.2","AL","1.80"
"12","1897","47.4","AL","5.37"
"01","1898","49.0","AL","3.92"
"02","1898","46.1","AL","2.11"
"03","1898","59.2","AL","3.12"
"04","1898","58.8","AL","4.49"
"05","1898","74.1","AL","0.95"
"06","1898","80.4","AL","3.86"
"07","1898","80.0","AL","6.05"
"08","1898","78.8","AL","7.20"
"09","1898","75.2","AL","3.46"
"10","1898","61.0","AL","3.84"
"11","1898","49.8","AL","5.99"
"12","1898","43.4","AL","3.85"
"01","1899","43.8","AL","6.18"
"02","1899","40.0","AL","6.40"
"03","1899","55.6","AL","6.31"
"04","1899","61.7","AL","2.45"
"05","1899","76.1","AL","2.03"
"06","1899","79.9","AL","2.91"
"07","1899","80.4","AL","6.73"
"08","1899","80.9","AL","3.86"
"09","1899","72.8","AL","0.53"
"10","1899","66.1","AL","2.64"
"11","1899","55.3","AL","2.97"
"12","1899","44.7","AL","5.38"
"01","1900","43.6","AL","3.37"
"02","1900","44.4","AL","8.75"
"03","1900","52.9","AL","5.96"
"04","1900","64.2","AL","8.69"
"05","1900","71.4","AL","2.56"
"06","1900","76.3","AL","10.38"
"07","1900","79.8","AL","4.74"
"08","1900","81.2","AL","3.12"
"09","1900","77.6","AL","4.06"
"10","1900","68.2","AL","5.79"
"11","1900","54.7","AL","3.33"
"12","1900","46.6","AL","5.10"
"01","1901","46.0","AL","4.97"
"02","1901","43.1","AL","4.45"
"03","1901","53.3","AL","6.34"
"04","1901","58.1","AL","5.19"
"05","1901","70.6","AL","5.30"
"06","1901","78.8","AL","3.25"
"07","1901","82.4","AL","3.49"
"08","1901","78.7","AL","9.12"
"09","1901","72.4","AL","4.49"
"10","1901","62.5","AL","1.22"
"11","1901","48.7","AL","1.78"
"12","1901","42.1","AL","7.49"
"01","1902","43.2","AL","3.69"
"02","1902","40.8","AL","6.93"
"03","1902","55.1","AL","9.37"
"04","1902","62.1","AL","2.36"
"05","1902","75.7","AL","2.52"
"06","1902","81.2","AL","1.35"
"07","1902","83.1","AL","2.87"
"08","1902","82.3","AL","3.77"
"09","1902","73.6","AL","4.22"
"10","1902","63.1","AL","3.63"
"11","1902","57.6","AL","4.11"
"12","1902","45.2","AL","5.51"
"01","1903","43.4","AL","3.62"
"02","1903","48.2","AL","10.61"
"03","1903","59.5","AL","5.62"
"04","1903","61.1","AL","2.73"
"05","1903","69.8","AL","6.25"
"06","1903","73.6","AL","4.75"
"07","1903","80.4","AL","4.39"
"08","1903","80.6","AL","4.57"
"09","1903","73.2","AL","1.58"
"10","1903","63.2","AL","1.95"
"11","1903","50.6","AL","2.12"
"12","1903","40.1","AL","3.23"
"01","1904","41.1","AL","4.24"
"02","1904","48.9","AL","4.13"
"03","1904","58.1","AL","3.78"
"04","1904","60.0","AL","2.32"
"05","1904","70.2","AL","3.05"
"06","1904","78.1","AL","3.22"
"07","1904","78.6","AL","5.01"
"08","1904","78.6","AL","5.81"
"09","1904","77.0","AL","1.23"
"10","1904","64.6","AL","0.26"
"11","1904","52.1","AL","3.06"
"12","1904","45.9","AL","4.49"
"01","1905","38.6","AL","5.62"
"02","1905","39.1","AL","7.54"
"03","1905","59.1","AL","3.67"
"04","1905","63.7","AL","3.84"
"05","1905","74.5","AL","5.34"
"06","1905","79.4","AL","5.01"
"07","1905","79.8","AL","4.48"
"08","1905","79.4","AL","5.58"
"09","1905","76.2","AL","2.30"
"10","1905","63.7","AL","4.25"
"11","1905","55.4","AL","1.68"
"12","1905","42.7","AL","6.31"
"01","1906","46.2","AL","4.82"
"02","1906","45.1","AL","2.45"
"03","1906","50.9","AL","8.66"
"04","1906","64.9","AL","1.08"
"05","1906","69.9","AL","5.06"
"06","1906","79.1","AL","3.74"
"07","1906","79.2","AL","7.79"
"08","1906","80.5","AL","3.76"
"09","1906","78.3","AL","8.93"
"10","1906","60.6","AL","3.52"
"11","1906","55.0","AL","2.32"
"12","1906","49.6","AL","4.05"
"01","1907","53.6","AL","2.21"
"02","1907","48.3","AL","4.51"
"03","1907","64.3","AL","3.18"
"04","1907","58.1","AL","6.66"
"05","1907","68.3","AL","8.21"
"06","1907","75.6","AL","3.13"
"07","1907","81.2","AL","5.23"
"08","1907","80.5","AL","3.76"
"09","1907","75.2","AL","5.98"
"10","1907","63.3","AL","1.42"
"11","1907","51.0","AL","6.36"
"12","1907","45.3","AL","6.58"
"01","1908","43.4","AL","4.19"
"02","1908","44.0","AL","6.87"
"03","1908","62.2","AL","4.70"
"04","1908","67.4","AL","6.30"
"05","1908","71.8","AL","5.50"
"06","1908","78.0","AL","3.34"
"07","1908","80.3","AL","5.30"
"08","1908","79.7","AL","3.64"
"09","1908","74.5","AL","2.23"
"10","1908","60.3","AL","1.72"
"11","1908","56.8","AL","1.66"
"12","1908","50.1","AL","4.37"
"01","1909","49.6","AL","2.05"
"02","1909","50.2","AL","7.59"
"03","1909","55.9","AL","8.89"
"04","1909","63.1","AL","6.18"
"05","1909","69.0","AL","6.34"
"06","1909","78.2","AL","7.92"
"07","1909","80.4","AL","4.91"
"08","1909","81.0","AL","3.54"
"09","1909","75.3","AL","2.95"
"10","1909","63.2","AL","1.95"
"11","1909","59.5","AL","1.26"
"12","1909","40.8","AL","5.04"
"01","1910","45.3","AL","3.53"
"02","1910","44.9","AL","5.47"
"03","1910","60.6","AL","1.16"
"04","1910","61.7","AL","3.53"
"05","1910","69.0","AL","3.85"
"06","1910","75.5","AL","7.16"
"07","1910","78.8","AL","7.26"
"08","1910","79.6","AL","2.95"
"09","1910","77.4","AL","2.35"
"10","1910","66.4","AL","3.41"
"11","1910","50.9","AL","2.19"
"12","1910","41.9","AL","3.33"
"01","1911","49.9","AL","4.49"
"02","1911","54.2","AL","3.26"
"03","1911","57.7","AL","2.50"
"04","1911","63.5","AL","7.65"
"05","1911","72.7","AL","2.86"
"06","1911","80.7","AL","3.93"
"07","1911","78.1","AL","5.93"
"08","1911","79.0","AL","5.30"
"09","1911","80.2","AL","2.56"
"10","1911","68.5","AL","3.19"
"11","1911","50.1","AL","4.54"
"12","1911","49.3","AL","7.97"
"01","1912","40.2","AL","5.93"
"02","1912","42.7","AL","4.83"
"03","1912","52.3","AL","9.55"
"04","1912","64.4","AL","10.08"
"05","1912","72.0","AL","3.64"
"06","1912","75.1","AL","5.03"
"07","1912","79.7","AL","5.22"
"08","1912","79.1","AL","6.23"
"09","1912","76.9","AL","4.55"
"10","1912","65.9","AL","2.76"
"11","1912","50.2","AL","2.11"
"12","1912","46.9","AL","6.63"
"01","1913","51.2","AL","6.25"
"02","1913","46.8","AL","5.70"
"03","1913","55.0","AL","9.22"
"04","1913","62.0","AL","2.50"
"05","1913","71.4","AL","3.48"
"06","1913","77.8","AL","3.72"
"07","1913","81.3","AL","5.22"
"08","1913","80.6","AL","2.60"
"09","1913","73.2","AL","6.61"
"10","1913","60.8","AL","2.26"
"11","1913","55.8","AL","1.31"
"12","1913","47.4","AL","3.29"
"01","1914","47.0","AL","2.14"
"02","1914","45.4","AL","4.24"
"03","1914","50.0","AL","3.63"
"04","1914","63.8","AL","3.96"
"05","1914","71.6","AL","1.25"
"06","1914","83.1","AL","2.76"
"07","1914","81.8","AL","4.18"
"08","1914","79.2","AL","6.71"
"09","1914","73.2","AL","4.70"
"10","1914","63.8","AL","2.84"
"11","1914","52.3","AL","4.01"
"12","1914","42.8","AL","4.91"
"01","1915","42.5","AL","6.02"
"02","1915","47.8","AL","4.93"
"03","1915","46.4","AL","3.23"
"04","1915","64.3","AL","0.47"
"05","1915","74.4","AL","6.19"
"06","1915","78.5","AL","3.80"
"07","1915","80.4","AL","5.19"
"08","1915","79.1","AL","5.03"
"09","1915","76.4","AL","4.11"
"10","1915","66.3","AL","4.86"
"11","1915","56.3","AL","3.26"
"12","1915","46.1","AL","6.08"
"01","1916","51.8","AL","4.02"
"02","1916","46.8","AL","4.01"
"03","1916","53.8","AL","2.94"
"04","1916","61.8","AL","2.86"
"05","1916","73.0","AL","4.69"
"06","1916","77.1","AL","3.49"
"07","1916","78.6","AL","17.59"
"08","1916","79.8","AL","3.49"
"09","1916","73.6","AL","2.16"
"10","1916","64.2","AL","1.77"
"11","1916","54.0","AL","2.80"
"12","1916","46.8","AL","4.71"
"01","1917","49.7","AL","6.63"
"02","1917","48.4","AL","5.52"
"03","1917","56.4","AL","9.13"
"04","1917","63.6","AL","3.64"
"05","1917","66.0","AL","2.44"
"06","1917","77.8","AL","3.30"
"07","1917","79.8","AL","6.10"
"08","1917","78.4","AL","5.84"
"09","1917","73.2","AL","6.10"
"10","1917","58.5","AL","1.45"
"11","1917","50.6","AL","1.47"
"12","1917","39.8","AL","1.78"
"01","1918","37.4","AL","7.28"
"02","1918","53.2","AL","2.33"
"03","1918","61.8","AL","0.85"
"04","1918","60.9","AL","7.47"
"05","1918","72.6","AL","2.63"
"06","1918","79.6","AL","4.11"
"07","1918","78.2","AL","3.86"
"08","1918","80.3","AL","3.60"
"09","1918","70.4","AL","4.11"
"10","1918","68.6","AL","8.37"
"11","1918","52.7","AL","5.16"
"12","1918","49.8","AL","6.00"
"01","1919","44.0","AL","5.67"
"02","1919","47.5","AL","7.03"
"03","1919","56.1","AL","7.25"
"04","1919","62.3","AL","3.30"
"05","1919","69.0","AL","6.44"
"06","1919","78.2","AL","4.36"
"07","1919","79.7","AL","6.91"
"08","1919","79.2","AL","7.37"
"09","1919","75.1","AL","0.92"
"10","1919","74.0","AL","4.66"
