disease,state,year,temperature,precipitation,event,number,vasccine_approved,vasccine_years
DIPHTHERIA,NE,1920,47.99067797,1.980338983,CASES,4767,1914,6
DIPHTHERIA,WI,1920,41.765,2.58475,CASES,17016,1914,6
DIPHTHERIA,CT,1920,47.065,3.825,CASES,14204,1914,6
DIPHTHERIA,WV,1920,51.48362069,3.835344828,CASES,4146,1914,6
DIPHTHERIA,MI,1920,42.73833333,2.46225,CASES,49661,1914,6
DIPHTHERIA,OK,1920,58.78018868,2.67254717,CASES,1873,1914,6
DIPHTHERIA,VT,1920,40.53229167,3.289375,CASES,465,1914,6
DIPHTHERIA,CO,1920,43.66380952,1.556761905,CASES,8006,1914,6
DIPHTHERIA,WA,1920,45.40588235,3.427647059,CASES,5757,1914,6
DIPHTHERIA,KS,1920,53.38083333,2.2115,CASES,8204,1914,6
DIPHTHERIA,PA,1920,47.79416667,3.4475,CASES,75513,1914,6
DIPHTHERIA,MD,1920,53.28833333,3.527083333,CASES,14023,1914,6
DIPHTHERIA,GA,1920,63.27916667,4.156145833,CASES,3710,1914,6
DIPHTHERIA,AR,1920,60.20190476,4.084380952,CASES,1210,1914,6
DIPHTHERIA,OH,1920,50.07833333,3.263833333,CASES,52128,1914,6
DIPHTHERIA,CA,1920,56.50416667,1.702083333,CASES,39182,1914,6
DIPHTHERIA,VA,1920,54.49833333,3.589583333,CASES,8785,1914,6
DIPHTHERIA,IN,1920,51.17,3.293833333,CASES,16021,1914,6
DIPHTHERIA,OR,1920,45.28319328,2.577647059,CASES,3761,1914,6
DIPHTHERIA,MA,1920,46.00416667,3.61525,CASES,67194,1914,6
DIPHTHERIA,FL,1920,68.82244898,4.39,CASES,452,1914,6
DIPHTHERIA,AL,1920,63.41965812,4.647521368,CASES,3515,1914,6
DIPHTHERIA,NY,1920,43.93083333,3.287916667,CASES,171020,1914,6
DIPHTHERIA,MT,1920,39.76695652,1.56973913,CASES,1175,1914,6
DIPHTHERIA,UT,1920,46.52184874,1.169327731,CASES,1925,1914,6
DIPHTHERIA,MO,1920,54.33833333,3.35,CASES,38480,1914,6
